model,regYear,regMonth,carCommentVolum,newsReplyVolum
49,2017,12,281,1128
50,2016,1,7,2800
50,2016,2,5,889
50,2016,3,9,1217
50,2016,4,16,179
50,2016,5,22,192
50,2016,6,40,732
50,2016,7,52,464
50,2016,8,51,2143
50,2016,9,56,1769
50,2016,10,189,2856
50,2016,11,54,2252
50,2016,12,109,212
50,2017,1,87,1554
50,2017,2,130,1037
50,2017,3,146,1209
50,2017,4,131,571
50,2017,5,145,189
50,2017,6,159,1642
50,2017,7,125,1981
50,2017,8,199,574
50,2017,9,184,771
50,2017,10,243,73
50,2017,11,154,541
50,2017,12,150,1197
51,2016,1,64,889
51,2016,2,74,106
51,2016,3,114,325
51,2016,4,98,1455
51,2016,5,96,1630
51,2016,6,149,224
51,2016,7,99,8098
51,2016,8,412,1425
51,2016,9,334,545
51,2016,10,289,62
51,2016,11,218,521
51,2016,12,315,632
51,2017,1,263,65
51,2017,2,225,2113
51,2017,3,368,920
51,2017,4,173,69
51,2017,5,330,484
51,2017,6,311,1840
51,2017,7,282,1220
51,2017,8,879,265
51,2017,9,692,664
51,2017,10,410,93
51,2017,11,332,705
51,2017,12,342,187
52,2016,1,61,1111
52,2016,2,75,62
52,2016,3,109,1953
52,2016,4,88,2350
52,2016,5,115,3469
52,2016,6,528,2435
52,2016,7,103,3167
52,2016,8,111,4009
52,2016,9,343,3853
52,2016,10,358,553
52,2016,11,192,967
52,2016,12,207,1450
52,2017,1,149,2152
52,2017,2,169,1840
52,2017,3,169,1119
52,2017,4,189,2058
52,2017,5,157,1409
52,2017,6,137,1247
52,2017,7,130,1107
52,2017,8,215,1139
52,2017,9,157,1919
52,2017,10,124,1785
52,2017,11,133,964
52,2017,12,121,1027
53,2016,1,1,1810
53,2016,2,1,2385
53,2016,3,4,1221
53,2016,4,1,12898
53,2016,5,2,4378
53,2016,6,1,354
53,2016,7,1,3777
53,2016,8,4,18988
53,2016,9,5,14406
53,2016,10,5,2921
53,2016,11,3,1514
53,2016,12,10,4045
53,2017,1,1,1289
53,2017,2,2,1917
53,2017,3,0,6861
53,2017,4,7,1419
53,2017,5,1,5159
53,2017,6,6,401
53,2017,7,1,230
53,2017,8,2,1154
53,2017,9,1,1255
53,2017,10,3,917
53,2017,11,2,514
53,2017,12,5,1226
54,2016,1,17,4025
54,2016,2,7,542
54,2016,3,14,1473
54,2016,4,10,1672
54,2016,5,14,2413
54,2016,6,13,1327
54,2016,7,13,2147
54,2016,8,9,1447
54,2016,9,10,1627
54,2016,10,16,1738
54,2016,11,19,905
54,2016,12,33,1476
54,2017,1,26,1988
54,2017,2,25,870
54,2017,3,41,1108
54,2017,4,25,1421
54,2017,5,53,96
54,2017,6,32,1273
54,2017,7,35,1131
54,2017,8,52,1200
54,2017,9,44,302
54,2017,10,48,62
54,2017,11,26,18
54,2017,12,31,278
55,2016,1,23,317
55,2016,2,33,170
55,2016,3,47,839
55,2016,4,31,43
55,2016,5,68,1787
55,2016,6,43,652
55,2016,7,45,1721
55,2016,8,58,750
55,2016,9,84,1414
55,2016,10,93,493
55,2016,11,127,48
55,2016,12,152,568
55,2017,1,108,1187
55,2017,2,60,583
55,2017,3,111,85
55,2017,4,92,1130
55,2017,5,195,234
55,2017,6,147,2304
55,2017,7,54,1079
55,2017,8,99,1166
55,2017,9,107,569
55,2017,10,50,4936
55,2017,11,44,20770
55,2017,12,55,11508
56,2016,1,23,2104
56,2016,2,15,293
56,2016,3,26,4535
56,2016,4,18,825
56,2016,5,74,1378
56,2016,6,79,1540
56,2016,7,118,961
56,2016,8,100,1253
56,2016,9,150,1340
56,2016,10,129,2321
56,2016,11,150,4534
56,2016,12,424,922
56,2017,1,337,2337
56,2017,2,449,1195
56,2017,3,603,137
56,2017,4,350,713
56,2017,5,437,859
56,2017,6,434,356
56,2017,7,478,1039
56,2017,8,625,185
56,2017,9,614,841
56,2017,10,579,2874
56,2017,11,535,220
56,2017,12,343,74
57,2016,1,5,2205
57,2016,2,19,1400
57,2016,3,21,2250
57,2016,4,16,2454
57,2016,5,11,3140
57,2016,6,38,333
57,2016,7,23,1221
57,2016,8,22,125
57,2016,9,29,813
57,2016,10,30,1756
57,2016,11,25,1527
57,2016,12,27,43
57,2017,1,32,1442
57,2017,2,36,2038
57,2017,3,113,4911
57,2017,4,97,2247
57,2017,5,63,4204
57,2017,6,59,339
57,2017,7,98,56
57,2017,8,126,28
57,2017,9,187,38
57,2017,10,150,26
57,2017,11,79,341
57,2017,12,86,320
58,2016,1,2,380
58,2016,2,4,881
58,2016,3,8,553
58,2016,4,6,1908
58,2016,5,14,2469
58,2016,6,18,1410
58,2016,7,16,3203
58,2016,8,35,1513
58,2016,9,35,2458
58,2016,10,31,3275
58,2016,11,23,1633
58,2016,12,25,451
58,2017,1,45,1156
58,2017,2,73,5872
58,2017,3,83,5529
58,2017,4,56,397
58,2017,5,56,417
58,2017,6,64,309
58,2017,7,93,75
58,2017,8,129,2336
58,2017,9,107,1245
58,2017,10,68,65
58,2017,11,139,106
58,2017,12,81,515
59,2016,1,70,5680
59,2016,2,123,2318
59,2016,3,167,5991
59,2016,4,205,3195
59,2016,5,224,2061
59,2016,6,253,4965
59,2016,7,193,3315
59,2016,8,284,328
59,2016,9,213,2234
59,2016,10,297,3089
59,2016,11,381,961
59,2016,12,588,2668
59,2017,1,239,2965
59,2017,2,266,4328
59,2017,3,457,3270
59,2017,4,305,2048
59,2017,5,260,3036
59,2017,6,757,1909
59,2017,7,1133,3717
59,2017,8,1604,1301
59,2017,9,1494,1011
59,2017,10,1065,2414
59,2017,11,561,2195
59,2017,12,586,4423
